upgrade,in.state,in.comstock_building_type,timestamp,models_used,floor_area_represented,out.district_cooling.cooling.energy_consumption.kwh,out.district_heating.heating.energy_consumption.kwh,out.district_heating.water_systems.energy_consumption.kwh,out.electricity.cooling.energy_consumption.kwh,out.electricity.exterior_lighting.energy_consumption.kwh,out.electricity.fans.energy_consumption.kwh,out.electricity.heat_recovery.energy_consumption.kwh,out.electricity.heat_rejection.energy_consumption.kwh,out.electricity.heating.energy_consumption.kwh,out.electricity.interior_equipment.energy_consumption.kwh,out.electricity.interior_lighting.energy_consumption.kwh,out.electricity.pumps.energy_consumption.kwh,out.electricity.refrigeration.energy_consumption.kwh,out.electricity.water_systems.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.interior_equipment.energy_consumption.kwh,out.natural_gas.water_systems.energy_consumption.kwh,out.district_cooling.total.energy_consumption.kwh,out.district_heating.total.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.district_heating.cooling.energy_consumption.kwh,out.other_fuel.cooling.energy_consumption.kwh,out.other_fuel.heating.energy_consumption.kwh,out.other_fuel.total.energy_consumption.kwh,out.other_fuel.water_systems.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh
0,NY,LargeOffice,2018-12-21 21:30:00,511,793656311.9930297,32776.51430111893,33549.554515206946,255.71534214703408,42858.440991854186,9455.755824403901,40214.80974844317,59.38248867496134,1362.0520368495138,6074.60756114153,145667.4810741021,23868.508049175336,8894.499160144658,0.0,437.28482430857895,47427.50336925104,0.0,550.6931327479606,32776.51430111893,33805.26985735399,278892.8217590979,47978.196501999,0.0,0.0,3821.0942740005935,3828.040632242223,6.946358241629558,397280.8430518119
0,NY,LargeOffice,2018-12-21 21:45:00,511,793656311.9930297,32222.15045190052,32909.715839543765,222.24628252313687,42575.825184495836,9455.755824403901,40135.954224893314,61.00598342782125,1297.3809269746996,7141.163015854183,145531.76667132048,23454.443490076552,8833.492509677557,0.0,368.5067048191394,47460.42481598891,0.0,502.67695021517164,32222.15045190052,33131.96212206691,278855.29453594354,47963.10176620408,0.0,0.0,3933.5736552396406,3941.2366006375705,7.662945397930246,396113.74547675246
0,NY,LargeOffice,2018-12-21 22:00:00,511,793656311.9930297,30239.971825921017,29485.506397950798,218.0608391422038,40554.421616600244,9455.755824403901,38945.726844753226,61.00598342782125,1219.9092525261883,6606.73872361215,145425.30403682814,23109.586119815078,8843.758086114312,0.0,345.6421486039169,46190.65799926666,0.0,478.02421333986865,30239.971825921017,29703.567237093004,274567.84863668494,46668.68221260652,0.0,0.0,3875.4079416796676,3880.7319178743132,5.323976194645116,385060.8018301798
0,NY,LargeOffice,2018-12-21 22:15:00,511,793656311.9930297,30952.71090671495,33338.23997460381,196.41221088058256,41903.79787975801,9455.755824403901,40221.52427322224,22.995033937278805,1255.5193963398679,6583.253538359961,145391.51881635067,22847.441115373353,8773.028849165032,0.0,309.9207204330944,48209.14114674092,0.0,439.7948145858133,30952.71090671495,33534.65218548438,276764.7554473434,48648.935961326715,0.0,0.0,3768.5860633547954,3768.5860633547954,0.0,393669.6405642244
0,NY,LargeOffice,2018-12-21 22:30:00,511,793656311.9930297,30989.647565506377,32866.72805257991,170.0117537660619,41121.28372175026,9455.755824403901,39678.881886764226,22.995033937278805,1232.5037985878848,6635.086549582935,145506.81765726945,22623.163899493546,8848.961236557412,0.0,294.0372351277108,47833.53030692037,0.0,415.72979598658975,30989.647565506377,33036.739806345955,275419.4868434746,48249.26010290697,0.0,0.0,3889.9869408428553,3890.420970858415,0.4340300155596969,391585.55528909224
0,NY,LargeOffice,2018-12-21 22:45:00,511,793656311.9930297,27571.57820522722,27961.381570508944,175.2752227565148,39349.99289371902,9455.755824403901,38672.865603631966,27.132354580842353,1157.243945431498,6629.563914237752,145602.48528794275,22490.08891006493,8787.851124818988,0.0,260.07349975176146,46704.13663136445,0.0,342.18659726557274,27571.57820522722,28136.656793265465,272433.05335858354,47046.32322863002,0.0,0.0,3821.0730164302213,3824.4000726507047,3.3270562204835294,379012.01165835693
0,NY,LargeOffice,2018-12-21 23:00:00,511,793656311.9930297,29433.164850928995,33408.970863937495,156.44740963108717,40811.9814462801,9455.755824403901,40087.51385584097,22.995033937278805,1205.1784192722512,6680.27676798615,145655.31301609764,22392.913666181033,8750.585744706452,0.0,244.46359071460887,48033.80488234457,0.0,336.4466367448337,29433.164850928995,33565.41827356859,275306.9773654202,48370.25151908941,0.0,0.0,3563.6060654374687,3564.2973717441287,0.6913063066595551,390240.10938075156
0,NY,LargeOffice,2018-12-21 23:15:00,511,793656311.9930297,29711.399289739766,32911.8213199122,144.58477661298787,40031.79853790819,9455.755824403901,39610.93880382792,32.48494477123293,1151.7432150249342,6612.993424092572,145510.81638815632,22346.344931177024,8666.862372969033,0.0,211.7120523373352,45442.921360885535,0.0,286.24204781827484,29711.399289739766,33056.406096525185,273631.4504946683,45729.1634087038,0.0,0.0,3670.6880699770322,3671.379376283692,0.6913063066595551,385799.7986659207
0,NY,LargeOffice,2018-12-21 23:30:00,511,793656311.9930297,27502.00881436268,25834.528237134575,144.57442519690346,38618.0570644968,9455.755824403901,38544.982247134154,32.48494477123293,1100.3256715351965,7377.95412171426,145299.55904285816,22304.737330088574,8692.03077164988,0.0,213.0780148446521,43180.43764472547,0.0,231.68366603673505,27502.00881436268,25979.10266233148,271638.96503349685,43412.12131076221,0.0,0.0,3571.2596492818175,3571.950955588477,0.6913063066595551,372104.1487765417
0,NY,LargeOffice,2018-12-21 23:45:00,511,793656311.9930297,28036.914907702925,29763.556877182207,116.49305714309041,39732.330529972045,9455.755824403901,39501.727019049176,28.258967256735883,1133.5679755982653,5509.585491910219,145226.5553791983,22244.79382746486,8448.362890408287,0.0,181.45985012486096,45705.32605254729,0.0,268.2083124347631,28036.914907702925,29880.049934325285,271462.3977553865,45973.53436498206,0.0,0.0,3519.6505708846453,3523.19399316718,3.5434222825345145,378876.09095556405
