upgrade,timestamp,district_cooling_cooling,district_heating_heating,district_heating_water_systems,electricity_cooling,electricity_exterior_lighting,electricity_fans,electricity_heat_recovery,electricity_heat_rejection,electricity_heating,electricity_interior_equipment,electricity_interior_lighting,electricity_pumps,electricity_water_systems,natural_gas_heating,natural_gas_water_systems,district_cooling_total,district_heating_total,electricity_total,natural_gas_total,other_fuel_heating,other_fuel_total,other_fuel_water_systems,site_energy_total,electricity_cooling_savings,electricity_fans_savings,electricity_heating_savings,electricity_interior_equipment_savings,electricity_interior_lighting_savings,electricity_water_systems_savings,electricity_total_savings,other_fuel_heating_savings,other_fuel_total_savings,other_fuel_water_systems_savings,site_energy_total_savings
1,2018-08-17 21:45:00,100107.8386667895,654.502579533613,143.7465577320478,94783.1182719414,9455.7558244039,37373.14682162349,180.31894354730332,3388.461204521971,4.317982711361257,145602.48528794275,22490.08891006493,10643.236434542629,251.6099191574565,855.9317678909149,344.55527920774733,100107.8386667895,798.249137265661,324172.5396004572,1200.487047098662,1.1401316606343914,1.8314379672939465,0.6913063066595551,426280.9458895782,1354.0365307887998,2261.5216970190077,0.0,0.0,0.0,0.6638202505321544,3616.2220480583665,0.0,0.0,0.0,3616.2220480583674
1,2018-08-17 22:00:00,102870.87520312046,572.272433517048,144.04457441209345,95657.09884038578,9455.7558244039,38386.865330252695,180.1749445242561,3403.1079047752555,5.957990438361759,145655.31301609764,22392.913666181033,11063.211579850178,212.6157234856624,954.0820577421752,314.3236151825491,102870.87520312046,716.3170079291411,326413.01482039475,1268.4056729247245,1.193062407672038,1.884368714331593,0.6913063066595551,431270.4970730834,1322.870756253515,2261.61460175958,0.0,0.0,0.0,-0.647851127023074,3583.8375068860087,0.0,0.0,0.0,3583.8375068860087
1,2018-08-17 22:15:00,107108.68728510666,612.4709452289549,135.7979408193661,94198.30883124896,9455.7558244039,38244.13981943746,150.58189147144537,3319.1584302713886,9.319628625314657,145510.81638815632,22346.344931177024,10839.74903840209,225.80957333078788,857.5234217626793,260.53068598868936,107108.68728510666,748.2688860483211,324299.9843565247,1118.0541077513687,1.6940510156870054,2.300173728578147,0.6061227128911415,433277.2948091599,1319.1304719826317,2260.5666955257493,0.0,0.0,0.0,-0.0012132641242175,3579.6959542442073,0.0,-6.954790299218416e-09,-6.954790410240719e-09,3579.6959542372233
1,2018-08-17 22:30:00,100996.43017218154,420.606755244478,144.4603090326267,94017.9420459424,9455.7558244039,37601.746895774275,168.77165967709342,3242.193777281889,12.060231471705604,145299.55904285816,22304.737330088577,10944.359342000573,176.82270730135016,913.7262600697562,253.90183277708508,100996.43017218154,565.0670642771048,323223.9488568,1167.6280928468411,2.281516656996095,2.281516656996095,0.0,425955.3557027626,1318.3682282144823,2259.8524051176737,0.0,0.0,0.0,0.0006812395090776,3578.2213145716178,0.0,0.0,0.0,3578.221314571617
1,2018-08-17 22:45:00,101709.93279662168,426.2735399505271,116.8620469571515,91731.27419755522,9455.7558244039,36912.92656081033,158.31579254970285,3174.116216786866,15.046102429115878,145226.5553791983,22244.79382746486,10819.201300760054,192.8624030958772,964.8721007078818,219.1345812163355,101709.93279662168,543.1355869076787,319930.8476050543,1184.0066819242174,2.8508833202673753,5.329703014621577,2.478819694354201,423373.2523735227,1316.5426205897984,2258.733584561061,0.0,0.0,0.0,-0.0010213706876669,3575.275183780148,0.0,0.0,0.0,3575.275183780177
1,2018-08-17 23:00:00,104434.28701055428,422.52674058539407,118.13366659154664,89115.14881625387,9455.7558244039,35613.18314088388,134.51929644703722,3159.2346737869575,17.67038571367614,145043.10260510904,22137.05565322745,10843.797498474096,153.49773302490286,1024.127197716147,247.70966848729216,104434.28701055428,540.6604071769406,315672.96562732477,1271.8368662034395,3.7347624075980663,7.625914920752745,3.8911525131546782,421927.37582618,1318.8106663388949,2269.1212340587344,0.0,0.0,1.8189894035458565e-12,0.0005495580802374,3587.9324499556997,0.0,2.2092329168244875,2.209232916824488,3590.141682872464
1,2018-08-17 23:15:00,108531.59633651016,2645.0392244204622,365.6783638491398,105778.3290565972,9404.539748668218,42212.04053030309,227.17919634066527,3517.126457077447,115.81641631726734,152161.45216224308,6907.027516988763,11075.77053422393,859.0232450205971,6835.636668223742,821.0283416459239,108531.59633651016,3010.717588269602,332258.30486378015,7656.6650098696655,140.85711029572573,174.78448644793025,33.92737615220452,451632.0682848773,1272.5860226096056,1824.3390972900297,0.0,0.0,0.0,0.7875951627862063,3097.712715062429,0.0,-1.1072146603751456,-1.1072146603751545,3096.605500402105
1,2018-08-17 23:30:00,108064.09517059082,1666.2412107444925,330.3512250984703,99275.81907706712,9404.539748668218,39801.908519732126,220.2086182557382,3243.9136037637336,63.9711432111752,152455.19182399305,6749.264405360995,10881.594249782793,818.9203522982572,4355.866237326402,699.9864200259536,108064.09517059082,1996.5924358429615,322915.33154213306,5055.852657352355,92.32388717235084,124.42124065027348,32.09735347792264,438156.2930465696,1299.2203983060313,2046.8053299165945,0.0,0.0,0.0,-0.7339268904414098,3345.291801332197,0.0,1.8692245231046272,1.86922452310462,3347.1610258552455
1,2018-08-17 23:45:00,101229.00498367623,1700.9688607271034,276.06899779391483,89733.70913631277,9404.539748668218,35443.51679754355,195.1538285250044,3042.146864139289,108.8552304824693,153354.13086110947,6636.686477294271,10478.430347268892,634.5837583046913,4538.085700029149,560.8956335529845,101229.00498367623,1977.037858521018,309031.7530496487,5098.981333582133,165.91398582913905,182.39958518213447,16.4855993529954,417519.17681061017,1265.3169012085375,2134.9313840760105,0.0,0.0,0.0,0.7438205879659563,3400.992105872565,0.0,-3.0649503464684997,-3.0649503464684953,3397.92715552604
1,2018-08-18 00:00:00,101497.22947081142,2373.7465792837224,230.5364549335202,93640.31964123384,9404.539748668218,37321.121177571426,213.4540387053821,3116.6723239835396,107.83377035690545,153610.80184494282,6404.882050676807,10523.822077292794,515.4431433865371,5341.853674921078,500.886096551814,101497.22947081142,2604.2830342172415,314858.88981681835,5842.739771472891,162.69910616368716,179.6006558994069,16.901549735719687,424982.7427492194,1224.0775513038966,2165.009032206444,0.0,0.0,0.0,-0.7001046419135264,3388.3864788684396,0.0,0.3323955303590651,0.3323955303590935,3388.7188743987163
